barcode,medicinename,quantity,expiry,disposal
12345678,Humira,10,17-05-23,flush down toilet
11234567,Keytruda,4,23-05-23,put in household trash
98765512,Revlimid,8,17-05-23,put in household trash
68849841,Imbruvica,0,17-05-23,flush down toilet
53552846,Opdivo,3,17-05-23,bring back to pharmacy
47156422,Eliquis,2,17-05-23,put in household trash
24617633,Eylea,1,17-05-23,discard in chemical waste
46511100,Enbrel,5,17-05-23,put in household trash
85554944,Avastin,0,17-05-23,bring back to pharmacy
72166629,Mabthera,6,17-05-23,put in household trash
91344252,Zestril,0,17-05-23,flush down toilet
10205985,Atorvastatin,4,17-05-23,put in household trash
76216124,Euthyrox,0,17-05-23,put in household trash
82800048,Metformin,2,17-05-23,flush down toilet
84922791,Amlodipin,3,17-05-23,bring back to pharmacy
66592149,Metoprolol,2,17-05-23,put in household trash
98144880,Omeprazol,0,17-05-23,discard in chemical waste
27472469,Simvastatin,0,17-05-23,put in household trash
98702594,Losartan,7,17-05-23,bring back to pharmacy
18812042,Ventolin,0,17-05-23,put in household trash
20464760,Rosuvastatin,0,17-05-23,flush down toilet
60866986,Clopidrogel,4,17-05-23,put in household trash
75549241,Propranolol,0,17-05-23,put in household trash
16448290,Aspirin,2,17-05-23,flush down toilet
32235976,Triofan,3,17-05-23,bring back to pharmacy
56923446,Zestoretic,2,17-05-23,put in household trash
31643074,Glycontrol,0,17-05-23,discard in chemical waste
23686407,Duloxetin,0,17-05-23,put in household trash
93441263,Methylphenidat,7,17-05-23,bring back to pharmacy
94221117,Triatec,0,17-05-23,put in household trash
87820714,Gagapentin,0,17-05-23,flush down toilet
25154828,Esidrex,4,17-05-23,put in household trash
92478834,Paracetamol,0,17-05-23,put in household trash
77840234,Setralin,2,17-05-23,flush down toilet
83856719,Seretide,3,17-05-23,bring back to pharmacy
16321649,Montelukast,2,17-05-23,put in household trash
69089031,Furosemide,0,17-05-23,discard in chemical waste
60221905,Co-Amoxicillin,0,17-05-23,put in household trash
40245861,Pantoprazol,7,17-05-23,bring back to pharmacy
38440363,Escitalopram,0,17-05-23,put in household trash
96301009,Xanax,0,17-05-23,flush down toilet
80921183,Prednison,4,17-05-23,put in household trash
82551639,Wellbutrin,0,17-05-23,put in household trash
40296134,Pravastatin,2,17-05-23,flush down toilet
63737324,Tylenol,3,17-05-23,bring back to pharmacy
93991628,Citalopram,2,17-05-23,put in household trash
94958526,Ritalin,0,17-05-23,discard in chemical waste
15626957,Ibuprofen,0,17-05-23,put in household trash
22397228,Venlafaxin,7,17-05-23,bring back to pharmacy
15141592,Zolpidem,0,17-05-23,put in household trash
34102477,Carvedilol,0,17-05-23,flush down toilet
20253367,Trazodon,4,17-05-23,put in household trash
91555899,Fluoxetin,0,17-05-23,put in household trash
48070393,Tramadol,2,17-05-23,flush down toilet
81776305,Insulin,3,17-05-23,bring back to pharmacy
42423389,Diazepam,2,17-05-23,put in household trash
36069731,Tamsulosin,0,17-05-23,discard in chemical waste
36900123,Atenolol,0,17-05-23,put in household trash
50992650,Potassium,7,17-05-23,bring back to pharmacy
93175458,Piroxicam,0,17-05-23,put in household trash
